Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 18/08/2021
TIME       : 20:27:52
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Douka_Longo_Baro_210818202752_BX056.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BX056  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Series settings]
  Serial number           =BB00-BX056  219.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:12 24/03/21
  End date / time         =00:00:10 17/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


Date/time;Pressure[cmH2O];Temperature[°C]
2021/03/29 04:00:00;1006,600;27,357
2021/03/29 05:00:00;1007,150;24,850
2021/03/29 06:00:00;1007,775;23,257
2021/03/29 07:00:00;1008,800;23,403
2021/03/29 08:00:00;1009,500;27,013
2021/03/29 09:00:00;1009,925;30,380
2021/03/29 10:00:00;1010,250;32,607
2021/03/29 11:00:00;1009,900;35,083
2021/03/29 12:00:00;1008,650;37,043
2021/03/29 13:00:00;1007,500;37,763
2021/03/29 14:00:00;1005,850;38,373
2021/03/29 15:00:00;1004,725;38,293
2021/03/29 16:00:00;1003,975;37,270
2021/03/29 17:00:00;1003,975;35,840
2021/03/29 18:00:00;1004,325;32,677
2021/03/29 19:00:00;1004,975;28,403
2021/03/29 20:00:00;1005,700;25,903
2021/03/29 21:00:00;1006,400;24,770
2021/03/29 22:00:00;1006,900;23,803
2021/03/29 23:00:00;1007,025;23,233
2021/03/30 00:00:00;1006,900;22,577
2021/03/30 01:00:00;1006,600;21,943
2021/03/30 02:00:00;1006,275;21,560
2021/03/30 03:00:00;1006,350;21,083
2021/03/30 04:00:00;1006,775;20,677
2021/03/30 05:00:00;1007,225;20,507
2021/03/30 06:00:00;1007,650;20,200
2021/03/30 07:00:00;1008,675;21,147
2021/03/30 08:00:00;1009,850;25,590
2021/03/30 09:00:00;1010,375;29,410
2021/03/30 10:00:00;1010,000;32,427
2021/03/30 11:00:00;1009,325;34,170
2021/03/30 12:00:00;1008,250;35,443
2021/03/30 13:00:00;1006,750;36,927
2021/03/30 14:00:00;1005,550;37,780
2021/03/30 15:00:00;1004,400;37,363
2021/03/30 16:00:00;1003,975;36,943
2021/03/30 17:00:00;1003,600;35,240
2021/03/30 18:00:00;1003,750;31,410
2021/03/30 19:00:00;1004,200;28,077
2021/03/30 20:00:00;1005,225;26,083
2021/03/30 21:00:00;1005,575;24,733
2021/03/30 22:00:00;1006,525;23,590
2021/03/30 23:00:00;1006,775;22,240
2021/03/31 00:00:00;1006,725;20,933
2021/03/31 01:00:00;1006,525;20,123
2021/03/31 02:00:00;1006,350;19,177
2021/03/31 03:00:00;1006,325;18,590
2021/03/31 04:00:00;1006,400;18,177
2021/03/31 05:00:00;1006,825;17,817
2021/03/31 06:00:00;1007,325;17,387
2021/03/31 07:00:00;1007,950;18,043
2021/03/31 08:00:00;1008,975;23,233
2021/03/31 09:00:00;1009,500;28,983
2021/03/31 10:00:00;1009,575;32,333
2021/03/31 11:00:00;1008,775;34,553
2021/03/31 12:00:00;1007,575;36,153
2021/03/31 13:00:00;1006,125;37,490
2021/03/31 14:00:00;1004,725;38,123
2021/03/31 15:00:00;1003,850;37,677
2021/03/31 16:00:00;1003,275;37,217
2021/03/31 17:00:00;1002,825;36,067
2021/03/31 18:00:00;1002,700;31,600
2021/03/31 19:00:00;1003,575;27,043
2021/03/31 20:00:00;1004,275;24,623
2021/03/31 21:00:00;1005,150;23,233
2021/03/31 22:00:00;1005,900;22,420
2021/03/31 23:00:00;1005,900;21,530
2021/04/01 00:00:00;1005,575;20,490
2021/04/01 01:00:00;1005,325;19,590
2021/04/01 02:00:00;1005,275;18,747
2021/04/01 03:00:00;1005,525;18,387
2021/04/01 04:00:00;1006,025;18,280
2021/04/01 05:00:00;1006,400;17,803
2021/04/01 06:00:00;1006,950;16,960
2021/04/01 07:00:00;1007,900;17,270
2021/04/01 08:00:00;1008,800;22,467
2021/04/01 09:00:00;1009,425;29,943
2021/04/01 10:00:00;1009,600;34,147
2021/04/01 11:00:00;1008,825;35,710
2021/04/01 12:00:00;1007,700;36,350
2021/04/01 13:00:00;1006,300;38,123
2021/04/01 14:00:00;1005,175;39,317
2021/04/01 15:00:00;1004,150;38,723
2021/04/01 16:00:00;1003,650;37,967
2021/04/01 17:00:00;1003,650;37,373
2021/04/01 18:00:00;1004,025;33,373
2021/04/01 19:00:00;1004,325;27,747
2021/04/01 20:00:00;1005,150;25,060
2021/04/01 21:00:00;1005,700;23,387
2021/04/01 22:00:00;1006,525;22,397
2021/04/01 23:00:00;1006,850;21,460
2021/04/02 00:00:00;1006,650;20,387
2021/04/02 01:00:00;1006,600;19,543
2021/04/02 02:00:00;1006,475;18,653
2021/04/02 03:00:00;1006,650;17,943
2021/04/02 04:00:00;1006,900;17,363
2021/04/02 05:00:00;1006,825;16,770
2021/04/02 06:00:00;1007,575;16,280
2021/04/02 07:00:00;1008,525;17,293
2021/04/02 08:00:00;1009,475;23,373
2021/04/02 09:00:00;1010,000;31,647
2021/04/02 10:00:00;1009,900;35,200
2021/04/02 11:00:00;1009,325;35,780
2021/04/02 12:00:00;1008,200;36,280
2021/04/02 13:00:00;1006,925;38,543
2021/04/02 14:00:00;1005,600;40,200
2021/04/02 15:00:00;1004,600;39,147
2021/04/02 16:00:00;1004,025;37,990
2021/04/02 17:00:00;1004,025;37,350
2021/04/02 18:00:00;1004,150;34,053
2021/04/02 19:00:00;1004,575;28,590
2021/04/02 20:00:00;1005,150;25,053
2021/04/02 21:00:00;1005,650;23,013
2021/04/02 22:00:00;1006,400;21,740
2021/04/02 23:00:00;1007,025;20,780
2021/04/03 00:00:00;1006,900;20,193
2021/04/03 01:00:00;1006,650;19,780
2021/04/03 02:00:00;1006,200;19,387
2021/04/03 03:00:00;1006,100;18,950
2021/04/03 04:00:00;1006,025;18,403
2021/04/03 05:00:00;1006,200;17,670
2021/04/03 06:00:00;1006,575;17,210
2021/04/03 07:00:00;1007,650;17,827
2021/04/03 08:00:00;1008,975;23,600
2021/04/03 09:00:00;1009,700;32,060
2021/04/03 10:00:00;1009,400;35,950
2021/04/03 11:00:00;1008,775;36,293
2021/04/03 12:00:00;1007,450;37,460
2021/04/03 13:00:00;1006,125;38,693
2021/04/03 14:00:00;1004,800;40,740
2021/04/03 15:00:00;1004,025;39,443
2021/04/03 16:00:00;1003,525;38,067
2021/04/03 17:00:00;1003,275;37,067
2021/04/03 18:00:00;1003,325;36,333
2021/04/03 19:00:00;1003,575;29,053
2021/04/03 20:00:00;1003,900;25,763
2021/04/03 21:00:00;1004,650;24,467
2021/04/03 22:00:00;1004,950;23,013
2021/04/03 23:00:00;1004,950;22,043
2021/04/04 00:00:00;1004,325;21,210
2021/04/04 01:00:00;1004,025;20,897
2021/04/04 02:00:00;1003,950;20,600
2021/04/04 03:00:00;1003,875;19,927
2021/04/04 04:00:00;1004,450;19,147
2021/04/04 05:00:00;1005,450;18,287
2021/04/04 06:00:00;1006,025;17,757
2021/04/04 07:00:00;1006,575;18,600
2021/04/04 08:00:00;1007,775;24,583
2021/04/04 09:00:00;1008,125;31,817
2021/04/04 10:00:00;1007,625;35,780
2021/04/04 11:00:00;1007,050;37,543
2021/04/04 12:00:00;1005,800;39,007
2021/04/04 13:00:00;1004,225;39,647
2021/04/04 14:00:00;1003,075;42,450
2021/04/04 15:00:00;1001,825;41,077
2021/04/04 16:00:00;1001,325;39,577
2021/04/04 17:00:00;1001,325;39,223
2021/04/04 18:00:00;1001,700;38,170
2021/04/04 19:00:00;1002,500;29,780
